table_name,column_name,data_type,description
dw_case,order_for_filing_fee,boolean,This field is set to FALSE unless a Petitions Clerk checks the box indicating that this Order is needed to be auto-generatred during the Petitions QC workflow.  Once the box is checked, this field is set to TRUE after the clerk clicks the Review Petition button.
dw_case,order_for_ratification,boolean,This field is set to FALSE unless a Petitions Clerk checks the box indicating that this Order is needed to be auto-generatred during the Petitions QC workflow.  Once the box is checked, this field is set to TRUE after the clerk clicks the Review Petition button.
dw_case,order_to_show_cause,boolean,This field is set to FALSE unless a Petitions Clerk checks the box indicating that this Order is needed to be auto-generatred during the Petitions QC workflow.  Once the box is checked, this field is set to TRUE after the clerk clicks the Review Petition button.
dw_case,party_type,string,This field is populated with the type of party that is filing the Petition.  If a petitioner selects Myself and My Spouse, this equals Petitioner and Spouse.
dw_case,petition_payment_date,date,This field is populated by a Petitions Clerk once the filing fee has been paid. This field is a date field and is added via a date picker. If no data is in this field, or if the status is Waived or Not Paid, it is displayed as NULL.
dw_case,petition_payment_method,string,This field is populated by a Petitions Clerk once the filing fee has been paid. This field is a text field. If no data is in this field, or if the status is Waived or Not Paid, it is displayed as NULL.
dw_case,petition_payment_status,string,This field is a radio button, and the default selection is "Not paid". Once the fee has been paid, the clerk selects "Paid". If the payment is waived by the Court, then the Clerk selected "Waived".
dw_case,petition_payment_waived_date,date,If a petitioner submits a fee waiver and it is approved by the Court, then the date of the Court Order is added to this field. If no waived date or if "Not Paid" or "Paid" is selected in the petition_payment_status field, NULL is displayed.
dw_case,preferred_trial_city,string,This is the requested place of trial that the user selected or that the Court designates.
dw_case,procedure_type,string,The case procedure type (small or regular) that the user selects for the case.
dw_case,qc_complete_for_trial,string,This field is populated with the trial session ID and "true" when the case has been marked as "QC Complete" for a new trial session. Cases not yet QC'ed or legacy cases display "{ }".
dw_case,received_at,date,The date/timestamp of when the case was submitted to the US Tax Court.
dw_case,sealed_date,date,The date/timestamp of when the case was sealed
dw_case,sortable_docket_number,string,The docket number in a sortable format. Example 3167-25 would be 2025003167
dw_case,trial_session_id,string,The ID of the scheduled trial session
dw_case,trial_time,string,The Start time of the scheduled trial session
dw_case,use_same_as_primary,boolean,This field is set to true ONLY when a Court User is inputting a paper petition and they check the box to use the same address as the primary petitioner. If this box is not checked, the field remains NULL. This is currently NOT getting set to TRUE when an electronic petitioner checks the box to use the same mailing address as above. I assume it should be getting set to True for this workflow as well? <span style="font-family: Aptos Narrow;font-size: 15px;color: #FF0000;">In the future, should this be stored with secondary petitioner instead of here?</span>
dw_case_status_update,status_update_id,string,A unique identifier of the case status.
dw_case_status_update,changed_by,string,The entitiy that triggered the update. This could be the system (when an automated process updates the case status) or a specific user of DAWSON (submitting a case, manually updating the case status, etc.).
dw_case_status_update,date,date,The date that the case status was updated.
dw_case_status_update,docket_number,string,The docket number of the case.
dw_case_status_update,updated_case_status,string,The case status of the case.
dw_message,attachments,array,
dw_message,completed_at,date,
dw_message,completed_by,string,
dw_message,completed_by_section,string,
dw_message,completed_by_user_id,string,
dw_message,completed_message,string,
dw_message,created_at,date,
dw_message,docket_number,string,
dw_message,from,string,
dw_message,from_section,string,
dw_message,from_user_id,string,
dw_message,is_completed,boolean,
dw_message,is_read,boolean,
dw_message,is_replied_to,boolean,
dw_message,message,string,
dw_message,message_id,string,
dw_message,parent_message_id,string,
dw_message,subject,string,
dw_message,to,string,
dw_message,to_section,string,
dw_message,to_user_id,string,
dw_response_string,response_string,string,
dw_response_string,request_id,string,
dw_response_string,ttl,number,
dw_response_string,user_id,string,
dw_user_case_note,docket_number,string,
dw_user_case_note,user_id,string,
dw_user_case_note,notes,string,
dw_practitioner_document,practitioner_document_file_id,string,
dw_practitioner_document,bar_number,string,
dw_practitioner_document,category_name,string,
dw_practitioner_document,category_type,string,
dw_practitioner_document,description,string,
dw_practitioner_document,file_name,string,
dw_practitioner_document,location,string,
dw_practitioner_document,upload_date,string,
dw_docket_entry,action,string,
dw_docket_entry,additional_info,string,
dw_docket_entry,additional_info2,string,
dw_docket_entry,add_to_coversheet,boolean,
dw_docket_entry,archived,boolean,
dw_docket_entry,attachments,boolean,
dw_docket_entry,case_type,string,
dw_docket_entry,certificate_of_service,boolean,
dw_docket_entry,certificate_of_service_date,date,
dw_docket_entry,created_at,date,
dw_docket_entry,date,date,
dw_docket_entry,docket_entry_id,string,
dw_docket_entry,docket_number,string,
dw_docket_entry,docket_numbers,string,
dw_docket_entry,document_contents_id,string,
dw_docket_entry,document_id_before_signature,string,
dw_docket_entry,document_title,string,
dw_docket_entry,document_type,string,
dw_docket_entry,draft_order_state,object,
dw_docket_entry,edit_state,string,
dw_docket_entry,event_code,string,
dw_docket_entry,filed_by,string,
dw_docket_entry,filed_by_role,string,
dw_docket_entry,filers,array,
dw_docket_entry,filing_date,date,
dw_docket_entry,free_text,string,
dw_docket_entry,has_other_filing_party,boolean,
dw_docket_entry,has_supporting_documents,boolean,
dw_docket_entry,index,number,
dw_docket_entry,is_auto_generated,boolean,
dw_docket_entry,is_draft,boolean,
dw_docket_entry,is_file_attached,boolean,
dw_docket_entry,is_legacy,boolean,
dw_docket_entry,is_legacy_sealed,boolean,
dw_docket_entry,is_legacy_served,boolean,
dw_docket_entry,is_on_docket_record,boolean,
dw_docket_entry,is_paper,boolean,
dw_docket_entry,is_pending_service,boolean,
dw_docket_entry,is_sealed,boolean,
dw_docket_entry,is_stricken,boolean,
dw_docket_entry,judge,string,
dw_docket_entry,lodged,boolean,
dw_docket_entry,mailing_date,string,
dw_docket_entry,notice_issued_date,date,
dw_docket_entry,number_of_pages,number,
dw_docket_entry,objections,string,
dw_docket_entry,ordinal_value,string,
dw_docket_entry,other_filing_party,string,
dw_docket_entry,other_iteration,string,
dw_docket_entry,party_irs_practitioner,boolean,
dw_docket_entry,pending,boolean,
dw_docket_entry,previous_document,object,
dw_docket_entry,private_practitioners,array,
dw_docket_entry,processing_status,string,
dw_docket_entry,received_at,date,
dw_docket_entry,redaction_acknowledgement,boolean,
dw_docket_entry,relationship,string,
dw_docket_entry,scenario,string,
dw_docket_entry,sealed_to,string,
dw_docket_entry,secondary_document,object,
dw_docket_entry,served_at,date,
dw_docket_entry,served_parties,array,
dw_docket_entry,served_parties_code,string,
dw_docket_entry,service_date,date,
dw_docket_entry,service_stamp,string,
dw_docket_entry,signed_at,string,
dw_docket_entry,signed_by_user_id,string,
dw_docket_entry,signed_judge_name,string,
dw_docket_entry,stamp_data,object,
dw_docket_entry,stricken_at,date,
dw_docket_entry,stricken_by,string,
dw_docket_entry,stricken_by_user_id,string,
dw_docket_entry,supporting_document,string,
dw_docket_entry,tax_year,string,
dw_docket_entry,trial_location,string,
dw_docket_entry,user_id,string,
dw_work_item,assignee_id,string,
dw_work_item,assignee_name,string,
dw_work_item,completed_at,date,
dw_work_item,completed_by,string,
dw_work_item,completed_by_user_id,string,
dw_work_item,completed_message,string,
dw_work_item,created_at,date,
dw_work_item,docket_entry_id,string,
dw_work_item,docket_number,string,
dw_work_item,in_progress,boolean,
dw_work_item,is_read,boolean,
dw_work_item,section,string,
dw_work_item,sent_by,string,
dw_work_item,sent_by_section,string,
dw_work_item,sent_by_user_id,string,
dw_work_item,updated_at,date,
dw_work_item,work_item_id,string,
dw_docket_entry_worksheet,docket_entry_id,string,
dw_docket_entry_worksheet,final_brief_due_date,date,
dw_docket_entry_worksheet,primary_issue,string,
dw_docket_entry_worksheet,status_of_matter,string,
dw_user_on_case_pending,user_id,string,
dw_user_on_case_pending,docket_number,string,
dw_user_on_case,user_id,string,
dw_user_on_case,docket_number,string,
dw_user_on_case,representing,array,
dw_user_on_case,service_indicator,string,
dw_user_on_case,acting_as_role,object,
dw_case_correspondence,archived,boolean,
dw_case_correspondence,correspondence_id,string,
dw_case_correspondence,document_title,string,
dw_case_correspondence,filed_by,string,
dw_case_correspondence,filing_date,date,
dw_case_correspondence,user_id,string,
dw_case_correspondence,docket_number,string,
dw_feature_flag,name,string,
dw_feature_flag,value,object,
dw_connection,client_connection_id,string,
dw_connection,connection_id,string,
dw_connection,endpoint,string,
dw_connection,user_id,string,
dw_connection,ttl,number,
dw_case_deadline,associated_judge,string,
dw_case_deadline,associated_judge_id,string,
dw_case_deadline,case_deadline_id,string,
dw_case_deadline,consolidated_case_deadline_id,string,
dw_case_deadline,created_at,date,
dw_case_deadline,deadline_date,date,
dw_case_deadline,description,string,
dw_case_deadline,docket_number,string,
dw_case_deadline,sortable_docket_number,number,
dw_user,user_id,string,
dw_user,pending_email_verification_token,string,
dw_user,pending_email_verification_token_timestamp,date,
dw_user,email,string,
dw_user,name,string,
dw_user,pending_email,string,
dw_user,role,object,
dw_user,token,string,
dw_user,is_updating_information,boolean,
dw_user,contact,object,
dw_user,judge_full_name,string,
dw_user,judge_title,object,
dw_user,section,string,
dw_user,is_senior_judge,boolean,
dw_user,judge_phone_number,string,
dw_user,additional_phone,string,
dw_user,admissions_date,date,
dw_user,admissions_status,string,
dw_user,bar_number,string,
dw_user,birth_year,number,
dw_user,confirm_email,string,
dw_user,practice_type,string,
dw_user,firm_name,string,
dw_user,first_name,string,
dw_user,last_name,string,
dw_user,middle_name,string,
dw_user,original_bar_state,string,
dw_user,practitioner_notes,string,
dw_user,practitioner_type,string,
dw_user,suffix,string,
dw_user,updated_email,string,
dw_user,account_status,object,
dw_bar_number,year,number,
dw_bar_number,last_used_number,number,
dw_user_confirmation_code,user_id,string,
dw_user_confirmation_code,confirmation_code,string,
dw_user_confirmation_code,ttl,number,
dw_minute_sheet,trial_session_id,string,
dw_minute_sheet,docket_number,string,
dw_minute_sheet,content,object,
dw_change_of_address,job_id,string,
dw_change_of_address,remaining,number,
dw_notification,id,number,
dw_notification,topic,string,
dw_notification,ttl,number,
